"Timestamp","Anonymous Question","AI Response"
"2026-03-11T22:11:29.478Z","Quels avantages présente Stables pour un commerçant?","Stables présente plusieurs avantages pour un commerçant, notamment la possibilité de paiements instantanés, l'absence de frais cachés, et une maîtrise totale de ses actifs grâce à l'autocustodie, ce qui signifie que seul le commerçant a accès à ses clés."
"2026-03-11T22:12:44.380Z","Bonjour comment fonctionne Stables","Stables fonctionne en vous permettant d'être votre propre banque, avec une monnaie sécurisée, pseudonyme et insaisissable, construite sur Minima, vous pouvez effectuer des paiements instantanés et avoir le contrôle total sur vos actifs, grâce à une gestion 100% autonome et sans frais cachés."
"2026-03-11T22:13:32.849Z","Merci pour l'info","De rien"
"2026-03-11T22:19:35.404Z","Quesque Minima","Minima is a blockchain network where every user runs a full validating and constructing node on their local device resulting in true censorship-resistance and absolute decentralization."
"2026-03-11T22:20:40.120Z","C'est quoi Minima","C'est un réseau blockchain sur lequel le système bancaire décentralisé Stables est construit, caractérisé par une architecture où chaque utilisateur exécute un nœud de validation et de construction complet sur son appareil local."
"2026-03-12T02:44:55.241Z","Stables什么时候可以使用？","Stables什么时候可以使用？ 
没有具体的时间信息，但Stables是设计为日常使用的货币，已经可以在Minima上使用。"
"2026-03-12T02:46:38.657Z","Minima的Minidapp商店里上架了Stables吗？","Minima的Minidapp商店里上架了Stables吗？ 
没有相关信息表明Stables已经在Minidapp商店上架。"
"2026-03-12T04:31:12.800Z","？","？"
"2026-03-12T04:31:18.786Z","你好","你好"
"2026-03-12T04:31:43.465Z","Minima是什么","Minima 是一个区块链网络，Stables 选择它作为其去中心化银行系统的基础，因为它具有真正的去中心化和抗审查的特性，每个用户都可以在本地设备上运行一个完整的验证和构造节点。"
"2026-03-12T04:33:02.664Z","https://raw.githubusercontent.com/StablesCouncil/stables-agent/main/brain/llms.txt","https://raw.githubusercontent.com/StablesCouncil/stables-agent/main/brain/llms.txt"
"2026-03-12T07:17:18.210Z","What is the Council treasury?","The Council treasury is funded by merchant listing and related protocol fees and can be used to seed and maintain Liquidity Fund positions."
"2026-03-12T11:33:07.228Z","Quelles sont les avantages pour les particuliers et pour les commerçants","Les avantages pour les particuliers et pour les commerçants sont liés à l'utilisation des Stables pour les paiements quotidiens, permettant aux utilisateurs de mint ou d'obtenir des Stables, de les utiliser pour payer des biens et services, et aux commerçants de les accepter, de les conserver, de les convertir en Minima ou de les utiliser pour payer d'autres personnes."
"2026-03-12T11:34:54.532Z","Où en est r projet pour l'instant","Le projet est actuellement en train de renforcer sa stabilité et sa liquidité grâce à des frais et une gestion de trésorerie, avec des transactions instantanées et sans frais pour les gens et les marchands, et il se dirige vers un avenir où le pouvoir monétaire est reconnu comme un droit humain fondamental."
"2026-03-12T11:38:21.593Z","C'est quoi Minima","C'est un réseau blockchain sur lequel le système bancaire décentralisé Stables est construit, caractérisé par une architecture où chaque utilisateur exécute un nœud de validation et de construction complet sur son appareil local."
"2026-03-12T11:39:00.815Z","C'est quoi un nœud","Un nœud n'est pas défini dans les contextes fournis."
"2026-03-12T13:11:20.253Z","Où en est rendu le projet","Le projet est rendu à différents stades de développement, notamment la mise en place de l'équité token xMinima, la création d'un trésor pour soutenir la croissance, et l'élaboration de différentes étapes de développement telles que Stage 2 et Stage 3."
"2026-03-12T13:11:55.409Z","Merci pour l'information","De rien"
"2026-03-12T13:21:51.851Z","Est-ce une autre arnaque en crypto monnaie","Non, ce n'est pas une autre arnaque en crypto monnaie, car Stables est un système bancaire décentralisé construit sur le blockchain Minima, qui offre une architecture décentralisée et une gouvernance basée sur le code, ce qui le différencie des autres projets crypto."
"2026-03-12T16:31:37.347Z","C'est quoi Minima","C'est un réseau blockchain sur lequel est constrit le système bancaire décentralisé Stables, caractérisé par une architecture où chaque utilisateur exécute un nœud de validation et de construction complet sur son appareil local."
"2026-03-12T18:27:06.458Z","why it says Unstoppable?","It says Unstoppable because Stables is designed to be a 100% on-chain, non-custodial, decentralized structure governed by code, making it mathematically robust against crashes and minimizing regulatory attack vectors."
"2026-03-12T18:27:52.440Z","and Pseudonymous ?","In a world of centralized data leaks, Stables provides pseudonymous, safe financial dignity."
"2026-03-12T18:28:28.217Z","how is it ensuring security?","it is ensuring security by having every user hold their own keys and participate directly in the network without intermediaries, with full custody at every step, and a Coverage Fund that strengthens the backing of the stablecoins and rewards the holders of the coverage fund tokens."
"2026-03-12T18:47:25.643Z","HOw can I test the app?","You can test the app by participating in the epoch-based competition on the Winiwa Testnet where you will be given fake Minima to compete and end the epoch with the highest portfolio value."
"2026-03-12T19:04:03.570Z","explain the own banking system","The Stables banking system is about being your own bank, it is a network of everybody's own bank, built on Minima, where people can be their own banks and hold and use Stables day-to-day."
"2026-03-12T19:04:25.844Z","Explain the role of every actor","The role of every actor includes People who are buyers, savers and senders using Stables day-to-day, and users who utilize the Multiplicator to amplify their exposure and support the Stables network, and the Llama 3.2 model generating replies based on retrieved text."
"2026-03-12T19:22:11.354Z","Comment ca marche?","Ca marche en trois étapes, le réseau grandit et la distribution de Minima s'élargit, les participants commencent à fixer les prix des biens directement en Minima, puis les silos centralisés disparaissent pour laisser place à un système décentralisé où le pouvoir monétaire est reconnu comme un droit humain fondamental."
"2026-03-12T19:22:29.722Z","Wow","Wow"
"2026-03-12T19:22:40.623Z","Vraiment?","Vraiment"
"2026-03-12T19:23:03.411Z","Ca marche vraiment?","Oui, ca marche vraiment."
"2026-03-12T19:31:10.313Z","explique moi le council","le council est un element cle de l'ecosysteme Stables, il est mentionne dans le contexte comme etant decentralise et est cense prendre le controle total du protocole une fois que l'equipe initiatrice l'aura lance, il est evoque dans le contexte 2 comme etant le Stables Council qui prendra le controle du protocole sans que l'equipe initiatrice ne touche a l'argent du protocole."
"2026-03-12T20:39:40.833Z","Explique moi comment fonctionne le minting","Le minting fonctionne de la manière suivante : les utilisateurs verrouillent des Minima dans le protocole pour créer de nouvelles stablecoins, telles que des USDs, des EURs, des JPYs, etc. C'est ainsi que la valeur entre dans le système. Les utilisateurs peuvent ensuite utiliser ces stablecoins comme monnaie quotidienne, et ils peuvent les brûler pour récupérer des Minima lorsqu'ils veulent sortir du système."
"2026-03-12T20:47:16.421Z","cest quoi earn?","Earn signifie gagner des Stables en fournissant des biens et services ou en intégrant de nouveaux marchands."
"2026-03-12T21:57:51.387Z","Explique moi le council treasury","Le Council Treasury est financé par les frais de listing des marchands et d'autres revenus du protocole, il agit comme un arbitrageur et un moteur de croissance, notamment en soutenant les positions du Liquidity Fund pour assurer une offre et une demande saines pour xMinima sans dépendre de teneurs de marché externes."
"2026-03-13T03:35:29.924Z","stables什么时候上线","没有提供关于Stables上线时间的信息"
"2026-03-14T09:13:58.092Z","Explain me what role plays the liquidity fund","The Liquidity Fund is a dedicated pool that provides deep, continuous liquidity between xMinima and Minima. Its core role is to ensure that participants on the equity side (holding xMinima) can always enter and exit their positions smoothly. This protects the stability of the Stables money layer that ordinary users rely on for day-to-day transactions, allowing the system to absorb volatility in the background."
"2026-03-14T09:28:31.635Z","What is the cost for a merchant to join?","There is no cost for a merchant to join the Stables system. Merchants can enter either by minting Stables with Minima or by earning them through providing goods and services. The system is designed to be free for merchants to join, with benefits including instant settlement and zero transaction fees when accepting Stables as payment."
"2026-03-14T09:42:11.237Z","Comment ca marche?","Stables fonctionne en trois étapes principales :

**Étape 1** : Le système commence avec des stablecoins adossés à des devises fiduciaires (comme le dollar ou l'euro) pour assurer la stabilité.

**Étape 2** : À mesure que le réseau Minima se développe, les utilisateurs commencent à utiliser directement Minima pour les transactions, réduisant ainsi la dépendance aux devises traditionnelles.

**Étape 3** : L'objectif final est un système où le pouvoir monétaire est un droit fondamental, circulant librement sans être concentré dans des institutions centralisées.

Le projet repose sur deux documents clés : la Charte (principes fondamentaux) et le Companion (guidelines opérationnelles)."
"2026-03-14T12:23:07.356Z","Est-ce que Stables progresse selon vos attentes","Le contexte"
"2026-03-18T08:00:13.176Z","Can you help me?","Yes, I can help you. What do you need assistance with?"
"2026-03-18T08:24:27.983Z","are you aware of the page we are on?","Yes, I am aware of the page we are on. This is the StablesAgent Brain Base, which contains the public Knowledge Base for the @StablesAgentBot. It serves as the single source of truth for the AI assistant running in the Stables ecosystem. The knowledge base and all anonymous interaction logs are publicly available at https://github.com/StablesCouncil/stables-agent."
"2026-03-18T09:11:56.193Z","Hello","Hello! I'm the Stables Agent, your assistant for the Stables banking system. How can I help you today?"
"2026-03-18T14:22:06.807Z","Explain me: Budget allocation (next 3 months)","The budget allocation for the next three months focuses on three main pillars to support the Stables ecosystem's growth and stability.

First, the Coverage Fund receives all transaction fees from payments within the circular economy. This fund serves as the protocol's yield and stability engine, strengthening stablecoin backing and rewarding token holders. In stressed conditions, it can adjust exposure toward xMinima to maintain system solvency while allowing everyday payments to continue.

Second, the Liquidity Fund (xMinima/Minima) ensures smooth conversions and maintains market depth for users and merchants who need to move between different forms of Minima.

Third, operational costs cover development, security audits, and community growth initiatives to expand merchant adoption and user onboarding.

This allocation ensures the system can scale while maintaining the stability and zero-fee payment experience that makes Stables attractive to both consumers and merchants."
"2026-03-18T14:52:33.773Z","Explain me: My Voting Power","Votre pouvoir de vote est directement proportionnel au nombre de jetons xMinima que vous détenez. Chaque jeton xMinima équivaut à une voix. Il n'existe aucun niveau privilégié, aucune délégation ou vote quadratique. Ce système reflète le fait que votre pouvoir découle uniquement de la quantité"
"2026-03-18T15:06:31.937Z","Explain me: Current Protocol Decisions","The current protocol decisions are structured around three main pillars that work together to ensure stability and growth. The Coverage Fund receives all transaction fees from payments within the circular economy, acting as the yield and stability engine to strengthen stablecoin backing. The Liquidity Fund, represented by the xMinima token, absorbs volatility in Minima collateral and gives holders exposure to the protocol's long-term wealth and governance. The Treasury, funded by merchant listing fees and other revenues, supports the Liquidity Fund and acts as an arbitrageur and growth engine. Together, these components allow the protocol to continuously reinforce its own stability and liquidity through automated fee and treasury management, rather than relying on a single discretionary treasury."
"2026-03-18T15:07:12.708Z","Explain me: Budget allocation (next 3 months)","The provided context does not contain any information regarding budget allocation for the next three months. The text describes the protocol's structural pillars (Coverage Fund, Liquidity Fund) and long-term economic stages, but does not specify any planned expenditures, resource distribution, or financial planning timelines."
"2026-03-18T15:12:25.214Z","Explain me: Treasury","The Treasury, also called the Council Treasury, is the protocol's self-funded reserve. It is financed by merchant listing fees and other protocol revenues. Its main role is to act as an arbitrageur and growth engine by seeding and maintaining Liquidity Fund positions. This ensures there is always a healthy bid and ask for xMinima tokens, providing stability and liquidity without depending on external market makers."
"2026-03-18T15:16:24.533Z","Explain me: Protocol Assets/Liabilities & Stress Test Simulator","The Protocol Assets/Liabilities & Stress Test Simulator is a tool that models how the Stables Council's financial structure behaves under different market conditions.

The simulator tracks the protocol's core assets and liabilities:
- **Assets**: The Coverage Fund (holding transaction fees), Liquidity Fund (xMinima/Minima positions), and Treasury (merchant fees and protocol revenues)
- **Liabilities**: The stablecoins issued and backed by the system

It runs stress tests to see how these components interact when:
- Transaction volumes spike or drop
- xMinima price becomes volatile
- Coverage ratios fall below target levels
- Liquidity dries up in the circular economy

The simulator shows how the Coverage Fund can shift between stablecoins and xMinima to maintain solvency, how the Treasury can intervene to support positions, and what happens to stablecoin backing under extreme scenarios. This helps the Council understand risks and adjust parameters before real-world stress occurs."
"2026-03-18T15:46:07.056Z","Explain me: Treasury","The Treasury is the protocol's financial engine, funded by merchant listing fees and other revenues. It serves two main purposes: first, it absorbs volatility from Minima collateral to protect the system's stability, and second, it acts as an arbitrageur to maintain healthy liquidity.

The Treasury can seed and maintain Liquidity Fund positions, ensuring there's always a reliable bid and ask for xMinima without depending on external market makers. This creates a self-sustaining ecosystem where the protocol reinforces its own stability through careful treasury management rather than relying on a single discretionary fund.

By holding xMinima, you're essentially taking on structural risk in exchange for governance power and participation in the network's long-term growth. The Treasury's role is to balance these risks while providing the capital needed to keep the system running smoothly."
"2026-03-18T19:58:11.727Z","Explain me: My Voting Power","Your Voting Power is simple and direct: each xMinima token you hold gives you exactly one vote. There are no special tiers, no extra boosts, and no complicated rules. If you own 10 xMinima, you have 10 votes. If you own 1,000, you have 1,000 votes. Your voting power comes solely from the amount of xMinima you hold, which represents your share of the system's foundational risk."
"2026-03-18T21:40:07.899Z","Explain me: Simply ALM + Stress test","ALM (Asset Liability Management) is how Stables matches its assets to its liabilities to ensure stability. It's simply about making sure the value backing your stablecoins is always sufficient and properly managed.

Stress testing is when we simulate extreme market conditions to see if the system can survive crashes, liquidity crises, or other shocks. We test everything under pressure before it goes live.

Together, ALM + Stress Test means we're constantly checking that our risk management works even in worst-case scenarios. It's how we ensure your stablecoins stay stable when everything else is going crazy."
"2026-03-19T17:06:17.910Z","Privacy reminder: do not share any personal information. Anything you share can be monitored by the community. Keep responses focused on public Stables details.

Context: Transaction details

Explain me: Transaction details","Stables transactions are designed to be fast, simple, and direct. When you send or receive Stables, the payment is confirmed and settled in seconds - no waiting days like with traditional banking. The system uses self-custody, meaning only you have access to your funds through your private keys. Transactions are pseudonymous, providing privacy while maintaining security. There are no intermediaries taking a cut, and you can send money instantly with zero transaction fees. The value of Stables is designed to remain stable, making it practical for everyday use whether you're buying, saving, or sending money to others."
"2026-03-19T19:13:57.409Z","Privacy reminder: do not share any personal information. Anything you share can be monitored by the community. Keep responses focused on public Stables details.

Context: transaction details

Status: Confirmed
Amount: −74.50 EURw
Fee: 0.02 EURw
Category/Direction: Books · Outgoing

explain me: transaction details","Cette transaction est confirmée. Vous avez envoyé 74,50 EURw pour un achat de livres, avec des frais de seulement 0,02 EURw. Le paiement est réglé en quelques secondes, directement entre vous et le vendeur, sans intermédiaire. Vous gardez le contrôle total de vos fonds."
"2026-03-19T19:19:26.685Z","Privacy reminder: do not share any personal information. Anything you share can be monitored by the community. Keep responses focused on public Stables details.

Context: transaction details

Status: Confirmed
Amount: −91.50 GBPw
Fee: 0.02 GBPw
Category/Direction: Transport · Outgoing

explain me: transaction details","This is a confirmed transaction showing a payment of 91.50 GBPw with a small fee of 0.02 GBPw. The money was sent for transport-related expenses, as indicated by the category. The negative amount means funds were deducted from your account. This is a standard outgoing payment processed through the Stables system, which provides instant settlement without chargebacks."
"2026-03-19T19:20:49.582Z","DO NOT SHARE PRIVATE OR SENSITIVE INFORMATION

Context: transaction details

Status: Confirmed
Amount: +127.00 USDw
Fee: 0.02 USDw
Category/Direction: Groceries · Incoming

explain me: transaction details","This transaction shows a confirmed payment of +127.00 USDw (Stables) with a tiny fee of 0.02 USDw. The money came in from a grocery purchase - the Incoming direction means you received this amount, likely as payment or refund. Since Stables is designed to work like cash with zero transaction fees between users, the small fee here is probably just a protocol cost. The system lets you send and receive these stable digital dollars instantly without banks, making everyday payments simple and private."
"2026-03-19T19:26:37.643Z","hello","Hello! I'm the Stables Agent, assistant to the Stables Council. How can I help you today?"
"2026-03-19T19:45:48.856Z","explain me: transaction details

Status: Confirmed
Amount: +127.00 USDw
Fee: 0.02 USDw
Category/Direction: Groceries · Incoming","The transaction shows you received $127.00 USDw (Stables) with a tiny fee of $0.02 USDw. The Incoming direction means this is money coming to you, likely from a merchant or someone paying you for goods or services.

Since it's categorized as Groceries · Incoming, this was probably a payment you received for selling groceries or a refund/reimbursement. The merchant network accepts Stables at 1:1 value because they benefit from zero transaction fees and instant settlement, which is why you received the full amount minus only the minimal network fee.

The confirmed status means this transaction is permanently recorded on the blockchain and cannot be reversed."
"2026-03-19T19:50:18.661Z","explain me: transaction details

Status: Confirmed
Amount: −74.50 EURw
Fee: 0.02 EURw
Category/Direction: Books · Outgoing","Les détails de cette transaction indiquent :

- **Statut : Confirmé** : La transaction a été validée de manière définitive sur la blockchain Minima.
- **Montant : −74,50 EURw** : Il s'agit d'une sortie de fonds (le signe négatif) de 74,50 unités de la stablecoin EURw. Cela correspond à un paiement effectué.
- **Frais : 0,02 EURw** : Les frais de transaction prélevés par le protocole pour le traitement de cette opération.
- **Catégorie/Sens : Livres · Sortant** : La transaction est classée dans la catégorie Livres (achat de livres) et est une dépense ("
"2026-03-19T19:50:53.720Z","explain me: transaction details

Status: Confirmed
Amount: −74.50 EURw
Fee: 0.02 EURw
Category/Direction: Books · Outgoing","This transaction shows a payment of 74.50 EURw to a merchant in the Books category. The negative amount indicates you sent this money out from your account. A small fee of 0.02 EURw was charged for processing the transaction.

Since this is an outgoing payment to a merchant, it's part of the Stables ecosystem where businesses accept Stables for goods and services. Merchants benefit from instant settlement and zero transaction fees when they accept Stables, which helps maintain the system's stability. The merchant likely priced their books at the equivalent of 74.50 EUR in Stables, and you paid exactly that amount for your purchase."
"2026-03-20T08:46:38.447Z","what ""your own bank"" means?","Your own bank means you have full control over your money. You hold your own wallet and keys, move value directly to others without any intermediaries like traditional banks or custodial platforms, and custody never leaves your hands."
"2026-03-20T08:47:07.794Z","wow, that'S great","Merci ! C'est exactement l'idée derrière Stables : une banque vraiment à vous, sécurisée et inarrêtable."
"2026-03-20T08:47:31.197Z","how is this possible?","The Multiplicator amplifies financial exposure and risk within the equity layer (xMinima), but it does not alter the fundamental governance rule. Voting power remains strictly proportional: 1 xMinima token always equals 1 vote, regardless of how the Multiplicator is used. The mechanism allows users to increase their financial stake and role in network stability without creating privileged voting tiers."
"2026-03-22T12:32:52.973Z","Explain me: Coverage Fund","The Coverage Fund is a yield-bearing buffer that collects all transaction fees generated by the Stables network. Its primary role is to strengthen the backing of the stablecoins in circulation. When the system's coverage ratio is healthy, the fund can hold mostly stablecoins. During periods of stress, it can gradually shift its holdings toward xMinima to absorb volatility and maintain system solvency. Additionally, the fund rewards holders of its own tokens."
"2026-03-22T13:05:39.026Z","Explain me: Wallet: recent activity","Le contexte fourni n'aborde pas spécifiquement la fonctionnalité Activité récente d'un portefeuille. Les extraits décrivent les mécanismes du système Stables : gagner des Stables via le travail, brûler des Stables pour obtenir des Minima, et les paiements sans frais. Pour des détails sur l'interface du portefeuille et son historique des transactions, il faudrait consulter la documentation utilisateur ou l'interface elle-même."
"2026-03-22T15:35:05.930Z","Explain me: Wallet: balance, send and receive","Based on the provided context:

Your wallet balance represents the Stables you hold, which you can acquire either by minting with Minima or by earning them through work or as a merchant.

You can send Stables directly to another person or merchant. These are instant payments with zero transaction fees. When you receive Stables, the payment settles instantly into your wallet balance, also with no fees.

The system is designed so that these wallet operations—holding a balance, sending, and receiving—are the core way users and merchants transact with this stable money."
"2026-03-22T17:35:38.185Z","Explain me: Ambassador: onboard shops, Big Mac-indexed fees, 50/50 split","**Ambassador: onboard shops** refers to a program where individuals (Ambassadors) recruit local merchants to accept USDs as payment. This directly supports the Massive Adoption strategy by targeting non-crypto users and building the essential Merchant Network.

**Big Mac-indexed fees** means transaction fees for merchants are set at a fixed, ultra-low rate (effectively zero) that is pegged to a real-world, stable benchmark like the Big Mac Index. This aligns with the consumer pitch of zero transaction fees"
"2026-03-23T06:44:15.676Z","Explain me: Ambassador: register with 10 Big Macs or via first shop onboarding; regional listing help; merchant listing 20 Big Macs 50/50","Based on the provided context, here's an explanation of those terms"
"2026-03-23T13:05:01.983Z","Explain me: Simply ALM + Stress test","ALM (Asset-Liability Management) dans Stables signifie gérer les actifs (collatéral en Minima) pour couvrir les passifs (stablecoins émis) avec une"
"2026-03-23T13:05:04.551Z","Explain me: Simply ALM + Stress test","ALM (Gestion Actif-Passif) chez Stables signifie gérer le déséquilibre entre les actifs (la garantie en Minima) et les passifs (les stablecoins émis) pour maintenir la parité. Le test de stress consiste à simuler des scénarios extrêmes, comme une chute brutale du prix du Minima, pour vér"
"2026-03-23T21:15:14.399Z","Explain me: Portfolio Simulator","Le Portfolio Simulator fait référence au mécanisme interne du protocole qui modélise et ajuste dynamiquement l'allocation du Fonds de Couverture entre stablecoins et xMinima. En fonction de l'état de couverture du système, ce simulateur guide le rééquilibrage progressif du portefeuille : lorsque la couverture est forte, le fonds peut détenir principalement des stablecoins ; en période de stress, il bascule graduellement vers le xMinima pour absorber la volatilité tout en maintenant la solvabilité du système. Il s'agit donc d'un outil de gestion de portefeuille intégré, conçu pour optim"
"2026-03-23T21:15:17.134Z","Explain me: Portfolio Simulator","Le Portfolio Simulator est un outil qui permet de modéliser et de tester les performances d'un portefeuille au sein du protocole Stables Council, en tenant compte de la dynamique entre ses différentes couches. En se basant sur la mécanique décrite, il simulerait comment le fonds de couverture (Coverage Fund) ajuste son allocation entre actifs stables et xMinima en fonction des conditions de marché, et comment la couche equity (xMinima) absorbe la volatilité du collatéral Minima. Cela aide à visualiser l'impact des fluctuations de prix sur la stabilité globale et les rendements potentiels pour les détenteurs de xMinima."
"2026-03-23T21:15:40.802Z","Explain me: Portfolio Simulator","Le Portfolio Simulator est un outil qui permet de modéliser et de tester comment les ajustements de portefeuille au sein du protocole, notamment ceux du Fonds de Couverture, affectent la stabilité et la solvabilité du système. En se basant sur les mécanismes décrits, il simule des scénarios où le Fonds de Couverture peut progressivement se réorienter vers des actifs"
"2026-03-23T21:15:45.313Z","Explain me: Portfolio Simulator","Le Portfolio Simulator est un outil de modélisation utilisé par le Stables Council pour tester et optimiser l'allocation des actifs au sein du Coverage Fund. Il permet de simuler différents scénarios de marché en ajustant le ratio entre stablecoins et xMinima, afin de maintenir une couverture optimale et de gérer les risques de volatilité du collatéral Minima. Cela aide à décider quand privilégier la stabilité (stablecoins) ou l'absorption de la"
"2026-03-24T07:03:13.415Z","What is the coverage fund","The Coverage Fund is the yield-bearing buffer that receives all transaction fees generated by the network. It strengthens the backing of the stablecoins and rewards holders of coverage fund tokens. Its composition can adjust between stablecoins and xMinima to absorb volatility and maintain system solvency during stressed conditions, working quietly alongside the Liquidity Fund to ensure stability."
"2026-03-24T07:31:37.271Z","Explain me: Ambassador: register with 10 Big Macs or via first shop onboarding; regional listing help; merchant listing 20 Big Macs 50/50","The provided context does not contain information about Ambassador registration with Big Macs, first shop onboarding, regional listing help, or merchant listing fees of 20 Big Macs. The context focuses on the merchant network's role in stability, the pitch to local businesses, and community participation tools like the Multiplicator. For details on those specific terms, you would need to consult official Stables Council documentation or community resources not included here."
"2026-03-24T07:31:53.094Z","Explain me: Ambassador: register with 10 Big Macs or via first shop onboarding; regional listing help; merchant listing 20 Big Macs 50/50","L'Ambassadeur peut s'inscrire en immobilisant 10 Big Macs (une unité de valeur symbolique) ou via le premier processus d'intégration d'un commerçant. L'aide à la liste régionale concerne le référencement géographique des commerces. Pour les commerçants, l'inscription coûte 20 Big Macs avec un partage 50/50, probablement entre le système et l'ambassadeur qui les a onboardés, aligné sur le modèle de récompense"
"2026-03-25T15:02:30.186Z","es tu la","Oui, je suis là et opérationnel. Je réponds à vos questions en utilisant une intelligence artificielle locale et privée."
"2026-03-25T15:05:28.757Z","explique moi les fonctions de base de Stables","Stables sont des stablecoins comme les USDs, EURs ou JPYs conçus pour servir d'argent au quotidien. Leurs fonctions principales sont de permettre aux utilisateurs de payer, d'épargner et d'envoyer de l'argent de manière rapide, peu coûteuse et simple. Une fois créés, les Stables se déplacent instantanément et sont réglés de façon définitive sur la blockchain Minima. Le système assure une auto-custody complète, ce qui signifie que seuls les utilisateurs détiennent les cl"
"2026-03-25T16:08:39.527Z","Explain me: On/Off Ramp: exchanges listing MINIMA and practical path between fiat and Stables","Les rampes d'accès On/Off font référence aux exchanges qui listent le token MINIMA, permettant la conversion entre monnaies fiduciaires (euros, dollars, etc.) et MINIMA"
"2026-03-25T16:08:41.000Z","Explain me: On/Off Ramp: exchanges listing MINIMA and practical path between fiat and Stables","The On/Off Ramp connects fiat currency to Stables through two steps. First, users acquire Minima on exchanges that list it, using fiat. Then, they mint Stables by locking that Minima into the protocol—this is the On-Ramp into the Stables system. The Off-Ramp reverses the process: users burn their Stables to redeem Minima from the protocol, then sell that Minima on an exchange for fiat. Exchanges facilitate the fiat-to-Minima conversion,"
